,comentario,liguagem
0,"8 years later, still such a sad song.",en
1,"nostalgia man, anyone else wish they can go back
 in time just for a day?",en
2,"When i hear this song, i miss Paul :(",en
3,Paul para sempre nas nossas memórias ,pt
4,"We don’t search for old songs..
we search for old memories.",en
5,8 years later and this song its now the best,en
6,8 years later... The love will never get lost  We love Paul Walker,en
7,"Still listening 2023, it is a masterpiece",en
8,"You know, Paul..

You made millions of grown men cry and yet you put a smile on their faces for what you did while you were still here.",en
9,"Nostalgic memories! RIP Paul you are one of the few good who will be missed, we were robbed of you because this world is completely evil and it's whole mission is to watch you fall and be part of the machine that feed's off of your pain & misery",en
10,Toda vez que eu escuto a emoção é a mesma  música perfeita ,pt
11,"He lived his way and that's why we still remember him
R.I.P Paul",en
12,Eterno paul Walker nunca será esquecido Wiz Khalifa é um relikia da música americana máximo respeito essa música ficou muito boa...,pt
13,"This song is epic, even after 7 yrs.
this song still gives me chills to this day.
Great memories.. the nostalgia!
It’s 2023 and this song is still",en
14,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,en
15,It's been ten years legend T-T... Paul forever <3,en
16,"7 years past, yet still one of the most viewed songs. A timeless masterpiece appreciated forever. Remembering this talented legend who touched so many people. 6 billion views and over 2 million comments.. incredible! Alive in our hearts forever  

R.I.P.   Paul Walker",en
17,This song and Pual will never fade away from hearts of people until human being is alive in this galaxy. I hope we can meet pual in next life . Rest In peace Pual.  I will visit your grave stone and your accident place. I have written a lot regarding you. I will give it to you in few years.,en
18,I remember the first time I heard this song loved it just as much as I do now even tho I couldn't relate to the lyrics. But now that shit just hits different been losing ppl lately but this song really been helping me get through it.,en
19,"We love Paul Walker, legends never die! You touched so many people 
 R.I.P.",en
20,"Don’t cry because he’s gone,
smile because he was here.",en
21,Rest in peace paul Walker you may be gone brother but you will never be forgotten all of us that watch you all your movies and all the people that was close to you as family we will see you again in the next life maybe not this one but in the next life and I really hope we'll see you again you deserve so much better brother you have touched so many hearts full of joy now that's a real human being and you are always been real and more importantly get mad everything to everyone clean your family that loves you throughout your lifetime God bless you Paul Walker may you rest in paradise. ,en
22,Repect Paul Walker,en
23,"RIP Paul Walker, keep driving in heaven though",en
24,“To live in hearts we leave behind is not to die.”   R.I.P Paul WALKER,en
25,"Guys, try listening to Rauf&Faik.They are the unidentical twin brothers' pop duet of Azerbaijani origins and were born in Russia. Most of their songs sound amazing because of their music and voices ️ if u feel their songs, u will definitely like it!",en
26,Nice Song ,en
27,nunca é um adeus 1:40,pt
28,man it’s been so long since we lost him. i can’t believe this video has 5B views. that right there shows how much we all love Paul.,en
29,my grandpa passed may 8th and i listen to this song to remember him rest good grandpa,en
30,Brasileira aquiiii,pt
31,"Still listening to this in 2023️
Mama I really miss u things won’t ever be the same#since2015",en
32,"2023 and I never get tired of this nostalgic song….
a mark for history! ️ ️ ️",en
