,comentario,liguagem
0,I DID NOT KNOW BRUNO MARS WAS IN THIS SONG WHEN I WAS YOUNGER THIS WAS LIKE DA BEST SONG OF ALL TIME TO ME,en
1,I love how wiz would come in spit a quick bar or two and snoop does the same thing and they go back and fourth. The chemistry between these two you can tell these two are homies for life.,en
2,I remember one day in middle school one of my friends started singing this and the whole class joined in. The nostalgia is real,en
3,"Half the comments talking about how they didn’t know Bruno Mars was in this,when I’m thinking about how nostalgic and relatable this song is.2020 anyone?",en
4,I love when this song is playing at a house party and everyone’s just drunk jamming to this song,en
5,I'm shocked that no one knew Bruno Mars was in this song,en
6,"""That's how it's supposed to be... But we live in quarantine...""",en
7,i love this song so damn much it gives me the vibes,en
8,This better be my graduation song ,en
9,the vibes in this song are immaculate,en
10,Just graduated today and this just brings back so many memories!! And many more to be made,en
11,I knew this song since I was 7 because my family would play it when we party and cooked out I miss the old days,en
12,This song gives me chills,en
13,"Here in 2020 blazing up still a hit til this
day ️ #mac&dev go to high school",en
14,"Miss being 15 and with friends chilling, thanks for those memories mac and Devin",en
15,I am singing this while i never smoked in my life,en
16,This goes out to my High School friend Tyler Smith that unfortunately died in a car accident a few years ago. Fly high brother love ya! ️ ,en
17,This should be the national anthem for Teenagers,en
18,Algum Br 🇧🇷 curtindo esse som?,pt
19,this was literaly the anthem of my youth mad thanks Wiz & Snoop <3 <3 <3,en
20,Middle school memories  so nostalgic ain’t it ? ,en
21,"So what we get drunk
So what we smoke weed
We're just having fun
We don't care who sees",en
22,"I still lived this song during quarantine I'm young, wild and free! No Rona gonna stop me from making my summer amazing",en
23,Até hoje chocada com essa música,pt
24,My goal in life is to go to party and just be singing this song at the top of my lungs with all my friends,en
25,"Man last year I went to Wiz concert and everyone didn’t think he’d play this song cause it wasn’t on the song list but he ended up playin it... all the homies faces lit up and everyone went to grab the blizzes and joints, everything, everyone did the same thing. All you could see was smoke.. best memory for life",en
26,Now that I'm older I can now relate to this song,en
27,Essa música é minha cara. Kkkkkkk,pt
28,"reminds me of so many good times, man i wish i could go back in time",en
29,this song had eight year old me like SO WHAT WE SMOKE WEED.,en
30,"Me in front of my parents: blasting this song
My parents: you smoking weed?!
Me:that's how we supposed to be livin young wild n free",en
31,"Omg I'm old. 8th grade year  the school had an assembly and we hid in the classroom. When everyone went to the gym, we locked up the classroom and hot boxed to this song  good ole days ",en
32,I remember when my parents weren’t divorced and I was happy and I would listen to this and me and my family would go on trips and everything at that time would be the best thing ever and everyone was happy. Miss that,en
33,"I need to be like this , just live life before I'm on my own live , young , wild & free",en
34,2023 still listening to this song,en
35,my middle school memories just flooded in my head,en
36,It’s been six years and I still love this song,en
37,"Proud of my life 10 years later. Still like to go back to life 10 years ago, but adult life ain’t that bad if your taking care of everything. Much love homies!",en
38,I miss my friends. Being young with no responsibilities just having fun and being free. Good times,en
39,Yoooo when this song came out broooo it was one of the best car meets I had in my entire life one of the best moments in my life when I was in high school I miss those days so much ️️,en
40,Bro this was a high school hit and when I graduated me and my hommies were going 90 in a he'll cat listening to this,en
41,Essa música me deixa mó marolada kkk muito boa namoral,pt
42,"From 8yr old me, to 23yr old me now, and still enjoying this masterpiece.",en
43,was here  fourth grade jamming with my fams and im still here freshman year of college 2020.... time flew:(((((,en
44,Shoot highschool memories kicking in ️,en
45,"Is this thin' on? Word
So what we get drunk?
So what we smoke weed?
We're just havin' fun",en
46,Its 2023 and we are still livin young wild and free,en
47,I never new Bruno Mars was in it,en
48,I remember the good days me and my homies always used to blast this in the hood,en
49,SUM CHILL VIBES ,en
50,legit i can hear bruno mars's voice its so distinct how can you NOT hear it???,en
51,This song gives me so much nostalgia.,en
52,who was that one person who disliked this song btw I like this song its catchy,en
53,This song makes me a different type of happy,en
54,"This will always be a classic to go back too
~~sheesh~~",en
55,Being 14 when this came out and all of us drinking smoking a few spliffs those were days now we're all in our 20s and dont get time 2 but makes me feel 14 15 again ,en
56,I see wiz khalifa as a slow rapper but when he Raps fastwiz khalifa is a legend.,en
57,me vibin to this song while answering my module:,en
58,I use to listen to this all the time back in middle school,en
59,"This is what I call it ""lit'",en
60,damn snoop had fire ass bars i want him back,en
61,Why can’t everyone have these vibes,en
62,This song feels nostalgic for some reason,en
63,This came out when I was like five years old and I remember thinking this was the coolest shit ever. Not the weed the song it was just so cool. 2009-2013 was so much better than nowadays and that's coming from somebody who was born in 2006.,en
64,When rap was still good,en
65,Nephew got the best laugh .......and the uncle with his damn dogg style !!!!!!! Best combo,en
66,Aquele comentário brasileiro que vc estava procurando kkk musica top,pt
67,Damm this shit hits love it og song love the movie too ,en
68,"Anyone want/wanted this for their graduation?
All I know is that I do",en
69,this how it’s suppose to be but i’m depressed  and Have strict parents. I know a lot of people can relate ,en
70,This song  makes me think  of a montage of someone amazing life I with I had,en
71,Primary school memories are popping up maaannn️,en
72,I'm young but never free ,en
73,Last year seen this song live in concert while smoking great times,en
74,For the people confused where Bruno is singing at is on the “living young wild and free part” you’ll hear him.,en
75,This song gets me high even though I don’t smokeI WILL when I’m like 13 which is like 2 years,en
76,They should come to my graduation this year,en
77,That  is The chillest song i have ever hear ,en
78,This lowkey hit different in quarantine,en
79,this movie was fire no cap,en
80,I love this song and movie xD shit is dope as fuck,en
81,Just imagine blasting this song on the school speakers,en
82,"i grew up with parents listening to this good shit, and somehow they got me, listening to musical soundtracks hdbdbjd",en
83,This song when ur high just hits different,en
84,I’m startin ta think snoop dogg ain’t dead-,en
85,I'm suppressed snoop dogg is still alive,en
86,Listening to this song wishing I was in Snoop Dogg's concert right now in New Zealand Auckland 2023,en
87,Theme from the Old Good Days ,en
88,This the best song to ever exist,en
89,the memories with my dad ,en
90,Remember how easy life was when this song came out,en
91,Damn I remember kickin it back in 8th grade smoking blunts to this,en
92,it's 2020.. still love this song,en
93,"HELL YEAH,DIS TRACK KICKS ASS,WHERES MY HIGH SCHOOLERS AT #ClassOf2022,HIGH SCHOOLERS KICK ASS!",en
94,im currently 12 years old listening to this on quarantine  doing school work i actually love this song and the move,en
95,"FUCK YEAH LOVE THE UNCUT VERSION :D
FREEDOM!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",en
96,singing this song with friends ,en
97,All was good when this song came out man.. rip to those days,en
98,This song was the literal creation of modern day hip-hop music,en
99,"Oct 2020, listening to a few old bangers at 12:30am going crazy on my ball trying to bring on labour 40+6",en
100,2020 and still an incredible fucking song️,en
101,Quarantine and chill vibes,en
102,I remember my little as singing this song not knowing what it said. ,en
103,This song sparks memories for me,en
104,Bruh whenever I listen to this song I’m smoking vaping or drinking it’s a vibe,en
105,This song got me tasting beer back when  I was a 2nd grader,en
106,"Is this thing on? (word)
So what we get drunk
So what we smoke weed
We're just having fun",en
107,anyone else live they life by this song,en
108,This song brings me back,en
109,the best song wow snoop dog and wiz Khalifa is the real goods,en
110,The dislikes are just parents mad cause there teens sing this ,en
111,20 loved this song at 13 lol,en
