,comentario,liguagem
0,"This is a theme song for anyone who struggles with depression, anxiety, or survivors of a painful past. I got this song on repeat. ️",en
1,"To the person who is reading this, you are NOT worthless. You are beautiful and are absolutely suppose to be here on earth just at this time. You are loved far more than you could ever imagine. You will Be OKAY, just please keep holding and you will make it through this hard session. You are a beautiful human being and will make it through this.",en
2,"I wanna dedicate this song to myself. I'm a type of person who listens to people's problems and struggles and gives them the best solution, but can never share mine with others. For all these times I fought it alone. I always do it alone. I always try to figure it out on my own. Cause I don't feel comfortable sharing my problems with others. I tried but I failed. It's just so hard for me. This song just reminded me of all those things I dealt with in the past and I can't help but tell myself, ""I'm so so proud of you. You made it this far. You always will."" It's such a masterpiece.",en
3,this song relates to me a lot except i never had anybody to hold my hand ive been through so much and everytime i try to give up i listen to this song and it helps me to see how far ive come by myself it hurt alot my past broke me alot but i keep everything in,en
4,"This is a theme song for anyone who struggles with depression,anxiety,or survivors of a painful past.I got this song on repeat.",en
5,"I never had someone who would hold my hand when I was at my worst. I always was alone, I had no one, I made it alone. I‘m proud.",en
6,This song connects and hits deep. She really understands us. Thank you Zoe Wees ,en
7,I always have anxiety and I don't want to lose control over my anxiety but it's hard because people always expect the good out of you and you don't want to live up to anyone's expectations.   Thank you for this song,en
8,"I used to have really bad anxiety and panic attacks and this song just speaks about everything.  I was lucky to have someone,  so I dedicate this to my mom. Merci maman pour tout.

Anybody who is going through something hard, don't give up, you are a strong person and there is someone who have your back,  as well as this song. Stay strong.",en
9,"This song means a lot to me  and for everybody who has a struggle with anxiety and/or depression, we are amazing, strong and we can do this  we got this!!! ",en
10,"Thank you for this song it has helped me forgive myself for mistakes I’ve made I have anxiety and depression and it’s really hard sometimes, sometimes you feel like you don’t want to be here anymore but listening to music really helps you get through those times ",en
11,"Fun fact: Zoe weeks wrote this song for a teacher. When Zoe was having panic attacks, anxiety attacks and when she was stressed, her teacher was the only one who cared. She wrote this as a thank you to her teacher.",en
12,I watched a lot of covers of this song. Almost none is trying to present the experience Zoe is trying to share. They mostly just sing nice. This is pure gold.,en
13,“I don’t wanna lose control” Great song I love it,en
14,That song always gives me chills down my spine and somehow gives me an urge to cry,en
15,"As an epilectic I feel the lyrics so much, epilepsy is a shitty illness, it's awful to live in fear all the time and not have control of your body.
Thank you Zoe!",en
16,"“Hurts when I remember and I never wanna feel it again.” 
That line hit me hard.",en
17,"If anyone is even going to read this I hope it makes an impact. Its so sad seeing all these people listening to this and being able to relate to it because it just shows the pain this world has. But for u and ur family and anyone else out there who loves you, you have to stay strong and keep on pushing through until you find your way out. I know it can be hard because I myself don't like living in this world full of hate, and sorrow. I really want some people here to realize that there are many people that love you and that you should appreciate yourself living here. Ur always loved my someone ",en
18,This Song helps me fight so much through the pain when i was alone and upset thank you Zoe Wees,en
19,"the song relates to me and my anxiety. this song makes be cry cause it explains how my metal health is and what state it is on right now. I have been struggling with my metal health for many years now. This song helps with my metal health, so thankyou Zoe for making such a beautiful song.",en
20,i listen to this whenever i feel like im going to have a panic attack because i have had them since i was young from trauma i don't think i would be here anymore if it wasn't for this artist thank you so much Zoe Wees,en
21,The line  “you were home” gets me every time,en
22,This song hits different when you've had anxiety attacks in the past...,en
23,This is amazing. It's probably gonna be my favourite song,en
24,"“Your skin isn't paper, don't cut it. Your face isn't a mask, don't cover it. Your size isn't a book, don't judge it. Your life isn't a film, don't end it. Your heart isn't not a door so don't lock it.",en
25,I love this song! It tells exactly my situation! ,en
26,2 years later and I needed this song more than ever .. gone always help me with my anxiety and to remember to take a deep breath 🫶.. my song .,en
27,Very inspiring song that really helps me realize everything Ive been through in my relationship ️,en
28,"Ever since my 16 year old daughter committed suicide 5 years ago I have been struggling with anxiety and certain times of year I lose it.  It scares me sometimes, the chest pain, the hurt.  I miss her so much.",en
29,This song has hit so many feels. Feel like if I had the talent I could have written it word for word ,en
30,What a good song!  I suffer from depression so I have this song on repeat ,en
31,on repeat everyday i love this song,en
32,"I have serious ptsd and anxiety disorder so this song is everything to me right now ,I'm so thankful it exists.",en
33, absolutely love this song  gives me chills every time ,en
34,"""I need you to know i would never be this strong without you"" hits deep",en
35,This song describes how I feel about my parents and how they’ve been there for me. I wouldn’t be alive it I wasn’t for them,en
36,Just lost someone close to me due to suicide & this song helps me so much I cry and sing this song out loud I personally battle with depression & anxiety & when I’m having a difficult time I put this song on,en
37,She hit home hard with this one. How have i never listened to the lyrics properly?,en
38,Love this song!!!,en
39,Love this song <3,en
40,"""I don't wanna lose control"" Hurts so hard",en
41,Thank you for making this song it helps alot ,en
42,Love this song!,en
43,This is such a powerful song and it makes sense when you have had a hard time in the past it's a great song,en
44,This song has helped me forget about my past and now I have a caring relationship to look after me :),en
45,"This song makes me feel better and worse at the same Time , my Mind goes to the rough times in my life and makes me feel sad but then I think of the people around me who help me sm ..️",en
46,"To all the teens or young adults, anyone, regardless of age on here listening to this song on repeat, I'm sorry.  I'm sorry you are struggling with things your parents don't acknowledge, I'm sorry for your hurt, your pain. I'm sorry the people around you have failed you. Hang in there. You are loved, you are enough, you are worthy of love and compassion, you are not alone. It may be hard but keep pushing, you will get through this and it will be better.",en
47,"I really want to sing this song on my graduation as a thank you for my friends, for being the reason why I'm still trying to recover and survive.

And for my family.. I'm thankful for everything they did but, they were also my reason why I'm such a mess, a pain, everything. This song is really inspiring me to let myself for once stand up on my ground!",en
48,This song really helps me with my anxiety and it just helps me over all when I listened to this song when I didn’t have anxiety I didn’t know what it was about and now that I have the anxiety 3 months later I really do relate to this song so I got this song on repeat,en
49,I suffer with anxiety and have been through a lot in my life so I can deeply relate to this song,en
50,I wanna thank Zoe for helping me with my anxiety attacks if it wasn't for her i wouldn't be here today,en
51,"I will never get bored of this.. esp when I’m feeling so low n broken,listening to this..I’d cry my soul n heart out.. like damnnnnn.. Thank you Zoe.. this really fits with my experiences️",en
52,"“Fighting my anxiety constantly I try to control it” 


hits very hard",en
53,"I really want to sing this song for my mom either on her birthday, or mothers day. I hope my dad will maybe say yes to let me go to a studio and record it",en
54,Linda demais🇧🇷️️️️,pt
55,"I suffer from a lot of things, this song has a place in my heart",en
56,"To anyone going through this, you are loved, you are more than enough and if no one has told you, you are loved. I’m grateful you’re here. ️️",en
57,I don’t know how I missed this song. It is fabulous even though it’s two years I can still enjoy it.,en
58,Those dislikes were from people who were crying so much so they accidentally pressed the dislike button bc there vision was blurry,en
59,This good song  love her voice,en
60,”Fighting my anxiety constantly I’ve tried to control it.” Hit me. I’ve was born at 32 weeks later diagnosed with Mild Cerebral Palsy (whole right side paralysis) along with seizures. Dang this story behind this song I can relate to so many ways.,en
61,Took me to lose control to gain control of what went wrong. Great song ,en
62,I have depression and anxiety everything about this song is true for me even though I still have a hand to hold it’s hard either way I know I have someone that will love me forever. Everyone is strong and your amazing keep pushing no matter what you are here for a reason!!  I’m one of those people who I’m nice and when I’m out their i smile most of the time then in the inside it’s crazy .,en
63,this song hits so differently when you know you can do anything after you do everything for someone who treats you like you ain't shit.,en
64,"""I don't wanna lose control, 
theres nothing I can do anymore""
This hits hard. The pain and emotion",en
65,Best song ever I am going through the same thing every day it is so hard but this song inspires me to keep going so THANK YOU!!!,en
66,"thank you for this song bc i have anxiety panic attacks and im going through depression ,this is the only song that help me through it",en
67,A reminder is a song that reminds every cell in your body to be in control,en
68,"Listening to this song everytime, when I have bad interaction with my toxic parents",en
69,"Honestly this song has been on repeat for days, I'm at school, and I'm so angry I'm shaking, I came outside to sit by this tree and listen to this, this song is the only reason I didn't start crying in class. It's in my mind 24/7. Thank you",en
70,"This is a song to my aunty, she's my hero, she took care of me, she was there throughout everything! She was there when i need her the most, she is the reason I'm okay and alive right now, she just went back to her country after 20 yrs of taking care of me and my siblings, she was there from when i was born till now. I'm using this song too cope with it ",en
71,I found this song just this year. N im a fan of Zoe now. I have very bad anxiety issues along with my bad self esteem. This song just makes me feel at peace. ,en
72,This song gets me through the hardest of times....,en
73,"This song is truly amazing and her voice reminds me of 2 of my fav singers, sia and grace vanderwall her voice and songs are beautiful like theirs :)",en
74,She's a great singer and also an amazing lyrics maker! I feel like she's got a lot to say... i'm in love whit her songs...  btw it hurts a lot,en
75,"I don't have depression or anxiety, but this song still made me cry. And for all of you hurting out there every day, putting on your fake smiles, and wanting to end it all, know that you are loved and cared for. I love you. We love you.",en
76,""" I wouldn't have made it if I didn't have you holding my hand""
This line hit me hard ",en
77,"This hits hard because I was adopted out the foster care system, one of my foster dads was grooming and and another foster home malnourished me and locked me in a room and not to mention my original parents were drug addicted and lost custody of me when I was 3 so really she’s my savior and I don’t give her enough credit for saving my life ",en
78,This song brings tears in my eyes… diagnosed with bpd depression anxiety ptsd 1 year ago… this song is exactly what i feel.. thanks to songwriter and signer️,en
79,This song helps me so much when I am having a hard time,en
80,"Great song ,it helps you to think and move on
Thank you 🇷🇴",en
