,comentario,liguagem
0,Share it if you like <3 | Thanks for your support !!!,en
1,"I dedicate this song to “MY LOVELY MOM”.That woman is my world.When i was very sick and stressed and almost got depressed,she was there for me,she fought my battles with me,she never gave up on me even when it seemed impossible,i wouldnt have made it if i didnt have her hold my hand and now it is almost 5 years i am okay,strong,happy and grateful",en
2,"everyone can understand what kind of music it is (people with bitter memories), i want everyone to promote this masterpiece because zoe deserves it. we know she had a hard life, your voice is proof of that. thanks for reading and watching.(I just discovered this music and I have suffered in life as much as others. But remember that GOD does not forget anyone's pain!!!)",en
3,"Oh my gosh- I remember when this song first came out, I watched it at like 30k views, and the comments were being terrible and fat shaming you. Now, this song has rlly blown up and became a popular piece of music to listen to and make trends of my millions of people. I’m proud to see how far you grew with this song, you’re doing great ",en
4,"Depois de 3 anos, a música começa a fazer sucesso. Linda demais",pt
5,"I'm going through a very difficult time, my little son passed away, and no one can understand what I feel, here you come with that wonderful and blessed voice and with those perfect lyrics and it makes me cry",en
6,She doesn't sing this song because she was depressed. She sings it because she suffered from epilepsy when she was younger. She describes how she felt during her seizures in which she lost control. But of course it's a beautiful song that gives strength to people with mental illnesses. Because the fears are pretty similar,en
7,Linda música ,pt
8,"WOW!! I'm feeling this. First time I have heard this. Loving you already ZOE, your voice is unique. Keep making good songs",en
9,"This song hits my soul as someone with anxiety... your voice and words are powerful.... this song both empowers me and leaves me tearful, you have a gift, thank you for this song.",en
10,"Que voz incrível, linda música. Sucesso! 🇧🇷",pt
11,I've been listening to this song everyday since the release. This girl is magnificent. We need more from you Zoe. Please,en
12,I love everything about this. Anyone else thinking she and her voice would be the perfect counterpart to Lewis Capaldi? I think a collab between them would be the best thing ever.,en
13,"Love this song three years ago. I was in a hospital dying of leg infection called necrotizing, but I came through it. I'm still here.",en
14,"Eu tava com uma ansiedade e entrei no YouTube e cai aqui do nada, só sei que tá me dando uma sensação boa, tão gostosa essa música.. tô apaixonada por essa mulher já! ",pt
15,"Whoever is reading this : May you beat anxiety, depression and sadness of life ! Great times starts now!!!",en
16,"Que voz é essa , menina ?
Perfeita ",pt
