,comentario,liguagem
0,'Girls Like Us' out now: https://ZoeWees.lnk.to/GirlsLikeUsID,en
1,Loving the video so much! ️️️,en
2,"You really really unbelievably helped me through a lot. I suffer from severe anxiety, and depression. Feeling like no one understood, you came along and expressed everything I've ever felt. I cried the first time I heard ""control""  You make amazing music Ms. Zoe wees. Never give up and keep on going! You are such an inspiration and an amazing star
I would love to sing by your side one day as I too aspire to become a singer/ song writer one day. Always rooting for you",en
3, Only the people who can relate will truly understand ...love her and her songs soooo much,en
4,Zoe weens is my new favourite Singer Love your music so much,en
5,Her songs are so good to listen to when your sad ,en
6,"This girl isn't just a singer,she's a feeling.",en
7,"Lyrics:
It’s hard for girls like us
We don’t know who we trust
Not even the ones we love",en
8,"Amazing song. It brought tears to my eyes. My palms began to sweat when I read the lyrics. This song so deeply reflects the pain so many women and girls go through. I can only but imagine your pain. All I can say is that my prayers are with you. I pray that you will find healing and be made whole again. May all the broken pieces be put together and form a beautiful, most magnificient piece of special 'art' that you are. I pray in Jesus Christ name. AMEN. ️️️",en
9,"Not someone who comments usually but this masterpiece compelled me. This songs reflects everyones life who've been suffering alot....Be patient, everything will be fine, this is a part of life. Believe in yourself and never give up. Lots of love and strength to who so ever reading this. Thank you for making this wonderful song (to late to hype this up)",en
10,I always sing this song and I'm sure the neighbors have grown tired since 18 months ago.... this girl is THE MUSIC...,en
11,Zoe wess is not only a inspirational singer but she makes you feel the hurt she has been through and many men and women can relate.,en
12,Wow.. just reading through all the comments. I’m literally crying because of all the great feedback!! I don’t know if you guys see but you are one of the reasons why I get stronger everyday. I’m unbelievable thankful and will give all to not disappoint you. ️,en
13,"Such wonderful music that comes from the depths of the heart, of the soul and reaches out to the world out there. Just saw you on stage in Cologne (to be honest, first time ever!) and was blown away and taken by surprise at how much strength and vulnerability at the same time your voice, your music carries. Thank you for an unforgettable experience! All the best, from Holland. x",en
14,"Zoe você ainda vai voar  muito  o mundo conhecerá o seu nome  MUITO SUCESSO.... Suas músicas são muito boas sua voz é maravilhosa,um beijão do 🇧🇷",pt
15,"Que voz perfeita,  amo as músicas da zoe, ela  canta com o coração.",pt
16,"This song hits hard in the places that hurts the most. Absolutely Beautiful
 Thank you ",en
17,This song hits so hard.. the piano version is amazing too ️,en
18,"""Mirror. Mirror in the wall I, don't see beautiful"" I felt that in my soul. This is unbelievable. What a voice. What a message! girl you did that! ",en
19,Her voice is very powerful and also the song is very educational she has a beautiful voice you can feel how she pours her emotion in every note she makes,en
20,"I LOVE YOUR VOICE, I also think that your songs are awesome, they have meaning behind them, thats what I like the most, but also the rhythm is awesome too!",en
21,"You’re music is why I’m still living, you make me feel like I belong️ I feel you understand EVERYTHING I go through. You’re soul is purely beautiful, keep being our voice",en
22,Just heard this for the first time and love everything about it and Zoe’s voice is beyond beautiful. Off to listen to the rest of her songs,en
23,"Love this song so much, I cried the first time of hearing hit. The lyrics about looking in the mirror and not liking what you see, that hit me! I struggle with loving myself and I am so grateful for this song. You are such an inspiration to us who do not love ourselves. Thank you!",en
24,This song means so much to me it's literally  like you said everything I feel ,en
25,Wow!! Powerful! Amazing voice!!! ,en
26,Saw tour song on the parade and I heard the first few lines and I grabbed out my phone and put it on my music list. Honestly I feel like now a days us women have to be pretty and plastic and this just is beautiful because for me it shows that you don’t have to be perfect. Such a beautiful song Zoe (:,en
27,"This song has to be listened to by everyone, it is very good, both the rhythm and the lyrics, let's share it so that it reaches more people. 
Esta canción tiene que ser escuchada por todos, es muy buena, tanto el ritmo como la letra, compartámosla para que llegue a más gente.",en
28,"100% talent 
100% gorgeous 
0% copyright 
This is amazing!",en
29,Zoe this is great! I felt the lyrics running through my veins! This is a song of all time!,en
30,"Let me tell you guys. I did not know Zoe Wees before yesterday when I heard that song. This is what we call a hit! Danm this is 24h I can't stop listening to it guys! This song is incredible. So deep, so high, so inside. I don't have enough words to describe it! I'm from Kenya. Big respect Zoe Wees. You just hit it !! ",en
31,I absolutely love this song so much..I literally listen to it on repeat!! My wife loves it too an my mother in law makes me play it for her every night before she goes to bed!!,en
32,The most beautiful voice in the music industry so many girls can identify with this song YOU ARE SO BEAUTIFUL ZOE WEES,en
33,"You're amazing , Zoe . I see we have a new star ",en
34,"I was just feeling so much pain, and I’ve been having a really hard time with my mental health. This song really spoke to me. The lyrics, beautiful. I’m just.. speechless.",en
35,"Wow, awesome song! I love her sound and music. Live is the same as a record, so pure and good! I will follow you!",en
36,"It's  hard to express our feelings sometimes but here we go giving her musics to the one's  we want to show our feelings is the best way to do. Thanks Zoe keep up the good work , we love you.",en
37,Your voice is so beautiful and the video is beautiful and the lyrics wow. Girl anthem right here.,en
38,"You know when you hear that song, that perfect song you've been waiting for forever, that speaks to you, tells your truth, lays you bare for everyone to see? That's this song for me. Something that screams ""here I am"" and it's scary but so damn beautiful. I feel exposed, but also finally free.",en
39,As a 16 year old I'm steering my life thru a rough course and every time I see a new song released I expect at least one of them to not be about love and breakup and something about a girl like me.... today I came across this song and all could do was cry seeing the lyrics...Thank you Zoe !,en
40,What a beautiful song....love your voice,en
41,This is perfect I have this in my playlist and control too! Your music is so great and explains my feelings. Thanks so much for being here! =),en
42,I love her voice so much<3,en
43,"Wow only just come across this song today and honestly the vocals are stunning, just beautiful ",en
44,"First time to listen to  your music, loving it  already. You are good.",en
45,is no one gonna talk about how good her voice is?,en
46,"Can't get over how beautiful your voice is. Wow, wow wow.",en
47,Wow  saw you on AMA’s as well.. not many artists can touch the souls of people they’ve never met and bring out so much emotion these days… we needed this thank you ,en
48,Literally had this melody in my head that i couldn’t get out and couldn’t place. I thought it was a tribal song that ive must’ve heard before but couldn’t figure it out until i remembered watching the amas last month and here i am! So happy i found it! Beautiful song! Beautiful voice! Beautiful person! Really hits my indigenous soul!,en
49,She is the female equivalent to Lewis Capaldi. Absolutely stunning!!!,en
50,Not only very talented but very beautiful! Keep it up! Fly high!,en
51,Her voice is like angels bringing some one very special,en
52,She sings from her heart and that is enough to make an artist,en
53,Loving it ,en
54,Love this song I can relate to this a lot ,en
55,"As someone who struggles with insecurity, I look in the mirror, look at my chubby body and the line ""I don't see beautiful staring back at me"" Is so true for me, this song, 𝕤𝕡𝕠𝕜𝕖 𝕥𝕠 me, like it knew my story but its thanks to this wonderful artist who has felt this way, that I was able to connect to this song the way 𝕀 did... Thank you",en
56,Love ya lady!! When I need to either laugh cry smile or all 3 at once your music can do it!! Good luck ,en
57,The right song for me rn..I feel heard and understood by someone who I've never met..love you Zoe️,en
58,I love this song so much I went on Apple Music and put this song in one playlist 20 times lol,en
59,Meu Deus sua voz é incrível.... adorei ganhou uma fã..... brasileira,pt
60,"This song is not just about struggling with the looks, it's so much more than that. It's struggling with emotions. The constant pretending, hiding the real feeling that we feel just because we're afraid of being misunderstood. This girl is so powerful. When I see her I see power, I see confidence, I see someone who is trying. Keep going. All of you. You're not alone. <3",en
61,Simplesmente uma diva amo essa música ️,pt
62,Your voice and this song are so beautiful and touching.  Keep going strong Zoe.  We love you.  <3,en
63,Chills literal chills this is an amazing song. You can hear the emotions in her voice. She’s amazing. ,en
64,  This is my all-time new favourite song in the whole wide world.. Every word is exactly me and my feelings fit with absolutely every word...,en
65,"Zoe i just want you to know that you are amazing.  Your music is literally what millions of people need . Please never stop doing this ! I hope you get the fame you deserve soon .
I love you <3",en
66,Muito linda essa música só amo,pt
67,I love this song so much  Keep on the good work! ️,en
68,"Love it! Made me feel better and I'm trying to be strong and tired of crying just want to try to be happy, which I should. But sometimes it's hard. Hope the best for u in the future and make more songs for girls like us.",en
69,"Till this day this song still hit's different It's emotional, and it tells you about all the feelings about girl's feeling's, It's an inspiration, And a amazing song to all the girl's out there, Not only the girl's, The boy's feel like this to, She has an unique voice the lyrics are so beautiful!! ",en
70,Very unique powerful voice. My first time hearing your music...and I love it.,en
71,This girl is beautiful. Everything about her is beautiful. I need more songs like this.... ITS BEAUTIFUL,en
72,"I happened to listen to your song Control and then this one, thinking they are beautiful and did not know at first that they are both yours. You are so talented and beautiful! You shine so brightly!",en
73,The song is my new favorite song I love it it helps me in difficult situations and motivates me maybe you dad can put out songs like this more often,en
