,comentario,liguagem
0,"i’m not depressed but i’m not happy, i can go all day laughing and smiling, but when i’m finally alone i turn into an emotional wreck..",en
1,"100 reasons to stay alive: 

1. to make your parents proud

2. to conquer your fears

3. to see your family again",en
2,"Lovely-Billie eilish and Khalid 
3:53 Another love-Tom Odell 
8:33 Somewhere only we know-Keane
11:38 It’s ok-Tom Rosenthal",en
3,"I'm tired of living. But, I live for parents who believe in their little daughter",en
4,"To anybody reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind may clarity replace confusion. may peace and calmness fill your life.",en
5,The fact that a lot of people here in these comments are here comforting random people is so kind and sweet they are more like friends then the people see everyday. And Thank you to the person who made this because this is what is helping me through this thought period. Thank you so much x,en
6,"I stay strong for my family and friends, but rn Im just soaking my pillow in silence. Thank you for this mix, I needed it.",en
7,"I’m proud of you for waking up.

I’m proud of you for brushing your hair.

I’m proud of you for blinking. 

I’m proud of you for breathing. ",en
8,"0:00 Lovely-Billie eilish and Khalid 

3:53 Another love-Tom Odell 

8:33 Somewhere only we know-Keane

11:38 It’s ok-Tom Rosenthal",en
9,"i dont know what to do anymore, just sitting alone in my room with this playlist",en
10,"I miss the old me

The girl who was stress-free

Had kind parents ",en
11,POV: the strangers on the internet understand me better than anyone I could ever know,en
12,"I have no idea why I'm crying, but this playlist works great",en
13,"hey to you reading this (: whatever brings you here, wether it's to fall asleep or to relax from something stressful, i just wanted to let you know that everything will be fine. If you're going through a hard time right now, it's okay to remind yourself that this is temporary, and there are many good and relaxing days to come. If you're about to sleep, i hope you will have the most beautiful dreams, and the most peaceful sleep. You are an amazing person and the world is lucky to have someone like you in it. I hope only good things, love and strenth will come your way. Goodnight (: ",en
14,"Hey there


What are you doing here so late?",en
15,faking a smile is easier than explaining why you're sad.,en
16,"When listening to this it reminded me of a random childhood memory of me watching my dad do yard work out my window. It was relaxing to watch. But now I’m constantly stressed out from school and making people happy, when I get home I can’t wait to cry, tonight was the first night in a while that I actually cried from it all. It felt good but it didn’t either. It felt like I was living in a hallowed out husk, a shell that would do nothing but homework. I’m done crying and my eyes are tear streaked. Thanks for this playlist and helping me let it out tonight, thanks for bringing back my childhood memories.",en
17,Y'all comforting eo even without knowing makes me feel that angels still do exist   :(,en
