,comentario,liguagem
0,"As a teenager, I liked the sounds. As a young adult, this is the story of my life.",en
1,"Going to be honest, as a metalhead I hardly listen to this band, but I can honestly say this song, and its lyrics hit hard as an adult and I sometimes find myself repeating it. Oh, the good old days.",en
2,We don't look for old songs...we look for memories they carry ️,en
3,"We don’t search for old songs.. 
We search for old memories.",en
4,"Me 2015: ""I love this song""


Me in 2023: ""Good old memories""",en
5,"This song is actually really deep.  We get caught up on the beat and flow, but the lyrics are meaningful and relatable. It actually deserves to be as big as it was/ is.",en
6,why don't we have songs that hit like this anymore :(,en
7,The best band of the all times.,en
8,"The older you get, the more you can relate to this song. This song is indeed legendary",en
9,"When the music is worth it, no matter how much time passes, people always come back here to hear it.",en
10,"First time I heard this song i was 16 now I’m 23 life haven’t been any good, things just got uglier all I wish Is happy normal life and to have good people around me I just want to feel like  “ that is the life I’ve been waiting for let’s live it “",en
11,Every time someone replies to this comment I’ll come back to listen to this masterpiece,en
12,That moment when you come back to a song and your English has improved enough to actually understand the lyrics.,en
13,Listening to this song on 9 may 2023 It been 8 years and this song is still a master piece to listen too with all the memories when I was younger and the old feelings of my childhood,en
14,"I'm from Russia, but I like these songs, they help you relax after a hard day and I'm very glad that no one forgets such songs, well done guys release good songs To everyone who reads this health comment to you and your family, so that everything in your life is good",en
15,"2023 and we can't let this song die, it's so important and relatable for a lot of people and it will always be a masterpiece ️‍ music helps me with stress, anxiety and anger, it takes all my feelings out in the tears I drop while listening to the meanfully words and delicated emitions ️‍️‍️‍️‍️‍",en
16,7 anos e essa música ainda tem todo meu coração,pt
17,"The older I get , the more this song makes sense.",en
18,É... nostalgia pura,pt
19,Happy birthday to the song that saved my life ,en
20,Every time I hear this song I tear up,en
21,"Lyrics:



I wish I found some better sounds no one's ever heard

I wish I had a better voice that sang some better words",en
22,This song is literally what everyone need in 2020.,en
23,Ainda é uma das minhas favoritas ,pt
24,Amoooooo  sempre escutando esse hinoooo ,pt
25,"This song's meaning is deep, the older you get, the more you understand it.",en
26,That moment when you come back listen a song that you've listened in 2017 and you realize he describe perfectly your actual mood.,en
27,"You think this Masterpiece gets old?? ... the answer is no, cuz It turn back time to the good old days ",en
28,"I was a fan of this song when I was teen without really understanding the meaning, now I am an adult and this song is literally my story.",en
29,"The more I listen on repeat the stronger it gets. 
Emotions grow stronger and stronger. 
Reminiscing on the past.",en
30,"After all these years, I finally understand what this guy was singing about and I too want to turn back. Time to the good old days…",en
31,(30 y/o) This song exactly describes the friendship/relationship I had with my childhood sweetheart in 2001. This song reminds me of all of those beautiful moments we shared  this song means so much to me. So grateful for T0P!,en
32,"""now im insecure and i care what people think"" felt this one.",en
33,Loved this song,en
34,"música q marcou 2015 e minha infância tbm, dizendo a pura realidade
""Queria que pudessemos voltar para os bons e velhos tempos""",pt
35,When music resonates awesomely or positively with much older people (like me) must be some Grammy consideration we looking for more 21 pilots.,en
36,"Ouvi essa musica com 8 anos hoje to com 16 quando  to ouvindo essa musica lembro do tempo que eu estava na escola quando batia o sinal eu saia corrando direto pra uma rua perto de la passava a maior parte do meu tenpo la me desestressando essa musica reflete bem a historia de algumas pessoas 
Eu queria muito poder volta no tempo para viver bons momentos e rever bons amigos que eu fiz ",pt
37,when you realize youre getting nostalgic about a song about nostalgia,en
38,"There aren't many guys doing it, but ""Rap rock"" is a good VIBE!",en
39,the nostalgia i get when i hear this song hits harder than a semitruck. this is one of tøp's greatest masterpieces. ,en
40,Well... old memories are the best one. And this song really can turn back time to the good old days.,en
41,We were living the good old days and we didn’t even know...,en
42,"Going to college in like 4 days and I just turned 18 like 2 weeks ago. Back in the day 6-7 years ago this was out around the time I was going to therapy I used to LOVE this song during car rides, at home, in school, a great song with great lyrics that I loved and had on repeat with no care in the world but I was young and dumb then, thought I could stay in youth forever. It was just a song then with some great lyrics to sing to. Now those same lyrics cut like a jagged steaming knife to butter. Feeling the reality of the song and what it means how true all of it is. Fuck man I’m scared as hell and stressed out going into the adult world but this song brings me back and puts a smile to my face all through the chaos. ",en
43,"Mais uma música velha que ainda faz sucesso, mesmo depois que passou mais de 7 anos, essa música ainda faz muito sucesso ",pt
44,The day this video was released was the day I quit drugs. I’ll never forget it. This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
45,“Wish we could turn back time to the good old days” Right now I’m wishing to go to good days,en
46,Dang I remember hearing this in 2015 as a 16 year old wishing I could turn back time and now here I am 22  wishing I could go back to being 16,en
47,this was on the radio all the time in 2015. it’s only been 8 years and yet it still feels like those were the “good old days”.,en
48,Venho do Brasil pra falar que essa música têm história aqui ️‍,pt
49,"2015 : we're stressed out

2020 : now we're really stressed",en
50,Can't believe it has been exactly 8 years already since this song was released... And now I can relate to this song. When I was a kid things were much easier now I understand the lyrics of the song ,en
51,8 years and it’s still my favourite song️,en
52,"Essa música é mt boa, maravilhosa",pt
53,"I love this song, a lot of past memories",en
54,o tanto que eu amo essa música,pt
55,“Wish we can turn back time to good old days”  is what everyone wants now in 2020,en
56,Rapaz massa demais lembro quando eu tinha 6 anos escutando essa música nostalgia ,pt
57,"Muito obrigado cara vai me ajudar d+ eu vou cantar essa música na minha formatura e a legenda vai me ajudar muito, muito obrigado.",pt
58,"Eu sou viciado nessa MÚSICA VELHO, a tradução me lembra dos bons e velhos tempos.. hj com 15 anos eu vejo o quanto eu era feliz na época.. 19/04/2023 as 23:06 🇧🇷",pt
59,If hard times had a song this will be that one,en
60,29 de abril de 2023 e eu aqui está música me traz uma vibe tão boa lembro que escutava quando era criança,pt
61,"“Wish we could turn back time. To the good old days.” 
Felt that.",en
62,"For me, this is a golden piece of art. I love it very much, and I always hear it. It makes me feel comfortable. There is a problem. I did not collect money.",en
63,I remember I always love this song so much,en
64,"""Used to play pretend, give each other different names""
This one line perfectly sums up me and my sister. I haven't seen her in a while.",en
65,"Ciekawa piosenka oraz teledysk.

An interesting song and a music video.",en
66,"Lyrics:

I wish I found some better sounds no one's ever heard
I wish I had a better voice that sang some better words",en
67,Obra prima deveria ser hino mundial ,pt
68,"“Wish we can turned back time,to good old days” I’m 18 and just graduate high school, I have know idea wtf I’m going to with my life, I want to relive my childhood again",en
69,STILL MASTERPIECE ,en
70,"Me 2015: singing this song dancing in my room having a concert chilling pumping it on loud speakers
Me 2023: earphones nodding my head trying not to cry cause reality of the song has hittt",en
71,hoje esta fazendo 8 anos que criaram essa obra de arte,pt
72,"TOP: Do you miss the goold ol' days?
2.2 billion people: Yes.",en
73,THIS SONG IS INCREDIBLE IT NEVER DIED,en
74,I listen to this music every day :),en
75,joder que temazo,pt
76,Wow!!! love it and thank you for the message! Powerful message. Thank you for your help in WAKING PEOPLE UP!!,en
77,"This hits me with a wave of nostalgia, 8 years passed fast",en
78,Quarantine has brought me back to the good old times to this good song,en
79,Eu amei essa banda ! Olha que tenho 40 anos .,pt
80,I’ve been singing this song since kindergarten and I finally understand the words ,en
81,This song IS Legendary ,en
82,"If this song isn’t played at my funeral, I’m not dying.",en
83,Hadn't heard this in 5 years and still remember lyrics,en
84,"I never understood the lyrics because English is not my first language but now, years later… I understand it and I started to cry because I can relate ",en
85,This song really hits different when you are  older... Missed the good old days.,en
86,"I remember the time it was released, I was in 7th grade and I saw this song first time on VH1. It soon became my favourite and my bsf and me used to sing it all day in school while looking at our class CCTV camera (cuz the Vice Principal had a screen on her desk where only our class was visible). 
Now as a young adult when I listen to it, it hits very hard. ",en
87,I think it really stays something about our modern society when a song about how Stressed Out we are has almost 2 Billion views.,en
88,"Man, I'd love to go back to when I was 7yrs old. Wish we could turn back time to the good old days when the momas sang us to sleep. But now were stressed out. Those lyrics couldn't be more true.",en
89,"Essa música nunca fez tanto sentido quanto hj em dia
"" Para os bons e velhos tempos """,pt
90,"This song reminds me of dyed hair, getting Starbucks Carmel frappe in the gloomy morning, playing movie star planet and wearing chokers ",en
91," L Y R I C S 
I wish I found some better sounds no one's ever heard
I wish I had a better voice that sang some better words
I wish I found some chords in an order that is new",en
92,"Everyone: this song never gets old

Me: damn that handshake was amazing!",en
93,One of the best songs ever!,en
94,Such a good song. Came out when I was 12 now I’m 20. Lyrics so relatable now,en
95,When I was little I used to listen to this song because of the beat but now that I hear it it feels so real that it just makes me want to cry and go back to the old days,en
96,7 years later and I still relate. I LOVE 21 PIOLETS,en
97,We can’t go back in time … but we can go back to the place where it happened,en
98,"The only reason why the ""old days"" are so glorious is because we know all the answers to our problems we had back then",en
99,"Visionários! Há 7 anos estavam traduzindo o que a maioria vive hoje, uma realidade onde “precisamos” da aceitação dos outros e a ansiedade é a nossa pior inimiga. Eu não conseguia enxergar a sensibilidade da letra porque eu era criança e não entendia nada. Agora tudo faz sentido ",pt
100,At first when I was really young I didn't understand the lyrics but now that I'm older I relate to every single word.,en
101,"I heard this song first when I was just a child, atleast mentally. I didn't even know English back then and I never understood the lyrics, but for some reason I related to it way too much. Guess I just loved the sounds maybe.
Now I understand it. I wish we could turn back time. And I relate to it even more now.
This song is legendary and it must live on as long as it can",en
102,One of my all time favorite.,en
103,I love this song,en
104,Everyone can agree that this song made their childhood,en
105,"I think I first heard this last year, but it feels so iconic, like it has no era. It suits everyone who hears it.",en
106,Música desde minha infância,pt
107,Never realized how this song can bring back such great memories,en
108,"I wonder why there are so many dislikes, this song is a bop and brings back so many memories",en
109,saudades dessa músicaaa️,pt
110,I LOVE THIS SONG,en
111,Boas lembranças dessa música,pt
112,can we just appreciate how good that handshake was....,en
113,awesome song. my family and I would dance to it back in 2017,en
114,"When I listen to this song, it specifically reminds me of a memory I had when I was a kid. I would wait for the bus to show up, and before I would go out, I would only listen to this song and probably sing along. My mom would listen to it too, because I would listen to it so much. I think this song lives on for generations because the lyrics say, ""Wish we could turn back time to the good old days."" Sometimes, as a preteen, teen, adult, or anyone older, we just wish we could go back to our younger days and experience or just revisit our old selves.",en
115,It was a vibe in 2015 and its still a vibe. This is my favorite song and it's a masterpiece,en
116,"Me 2017: ""I love this song""





Me in 2023: ""I should have cherished my childhood""",en
117,"Me when I was young: Wow I like this song.

Me now: Wow this song is way too relatable",en
118,Se siente como the good old days.... solo al escucharla.,en
119,"8 years ago I just loved to listen to this song, now it hits a little too hard",en
120,"2015 it was just a song for me 
But in 2023 the song can be feel in the heart ",en
121,"me when I hear this song the first time : WOW this is soo fire  


Me today: I wish i could be that memory",en
122,"""Wish we could turn back time, to the good old days""

Me: yes i wish",en
123,"Quando eu tinha 9 anos, perdi a minha avó, em 2016 por doenças do coração e pressão alta, eu a amava porém ela morava muito longe então eu só via ela 1 vez no ano (sempre nos finais de ano, nas férias da escola) desenvolvi depressão, ansiedade e tive várias crises, não conseguia mais dormir por causa das minhas crises de pânico que durava a noite inteira, comecei a ter vários problemas com minha família pois a mesma não aceitava aquilo que eu estava passando mas no lugar de me ajudar, só existia julgamentos e olhares tortos para mim... Em 2017 (se não me engano) conheci essa dupla e essa música em específico mudou a minha vida, escuto ela é me vêem todas essas memórias, hoje tenho 16 anos e esse ano irá fazer 7 anos que minha avó se foi, em novembro. ",pt
124,It’s been 7 years and it’s still one of my fav songs. How long will it take to leave my top 20?,en
125,"Oiiii sou brasileira 🇧🇷 obrigado por coloca legenda 
Hi, I'm Brazilian, thanks for subtitling the video clip. 🇧🇷",en
126,when i was 12 i didn't understand english now i'm 16 and this song makes a lot of sense to me now ,en
127,"“I wish we could turn back time, to the good old days”",en
128,Hello. I'm from Russia. This song is wonderful and i love it ️,en
129,This song gets more relatable with every passing day.,en
130,"The older, the more relatable this gets.",en
131,This song is nostalgic also it reminds me of my childhood cuz I used to live in a neighborhood that looked exactly like that good old memories,en
132,"With all of the adult stressed out lives, this song just mostly let’s a lot of it go.",en
133,i come here every like 5 months just to listen to this song again,en
134,I love this video... nice emotions... I would like to see it in 4k.,en
135,This song is a masterpiece,en
136,I remember when I was in Middle In Canada and was standing at my local bus stop with my earbuds. Listening to This As I wait fir the bus. This song many years later immeimmensely relates to me!,en
137,I've been listening to this song for 3 years now and still not getting bored of it.,en
138,"""My name's blurry face and I care what you think""

this line hits different",en
139,"Stressed Out
/
Lyrics
I wish I found some better sounds no one's ever heard",en
140,With or without the lyrics….still a tune ,en
141,When I was younger I didn't understand how much pain this song has.,en
142,I loved this song since it came out I always will,en
143,"This actually makes me cry, nostalgic, now I am actually old enough to understand this song, Im Tearing up.",en
144,8 Years since this released and still vibing with it,en
145,"This is my life, never heard a more relatable song",en
146,It's crazy to think that everything in this song is completely true and when we were younger we didn't understand it.,en
147,"Quem me dera poder voltar a 8 anos atrás… hj com 15 anos.. quase terminando o ensino médio, quando acabar só vai restar várias lembranças boas com meus melhores amigo",pt
148,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
149,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
150,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
151,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
152,I'm 58 years old and  love this song and everything about it. I think it is a masterpiece. I have truly loved this song since it first came out.  Pretty much love all their music,en
153,"""Wake up you need to make money""
As you grow up, you understand the lyrics more",en
154,ЭТОЙ ПЕСНЕ УЖЕ 8 ЛЕТ! ПОЗДРАВИМ TWENTY ONE PILOTS! С любовью из России! This song is already 8 years old! Congratulations Twenty One Pilots! With love from Russia! Nostalgia But once upon a time it was 2 seconds ago...,en
155,That really is a classic song and also very good.,en
156,"People think that all of us fans left this masterpiece but nah, we never did.",en
157,This is my comfort song. I hate to come back here knowing that I'm not feeling alright.,en
158,1st i heard that song when I was on Cyprus holidays in 2016. That song brings a lot of good memories,en
