comment;score negative;score neutral;score positive;score compound
he’s in his reputation era everyone and he is NOT HOLDING BACK !!!;0.0;1.0;0.0;0.0
"""Messing with my life is a career move""


This is so fucking eleite!";0.0;1.0;0.0;0.0
He's very brave, the lyrics are very direct. How could anyone ever hate this guy? I don't think there's any malice in him.;0.13;0.74;0.13;-0.0018
"Are you ok? 
We are here for you Josh";0.0;1.0;0.0;0.0
This isn’t your end, this is your beginning. You can live past this, it might feel never ending right now but there will be a time when this will be a distant memory. This too shall pass. ;0.0;1.0;0.0;0.0
He's expressing his feelings, and they're valid. He's not calling writing songs a career move. He's talking about not making it end. He's allowed to feel that way.;0.0;1.0;0.0;0.0
“Messing with my life as a  carrier move” this hits different;0.0;1.0;0.0;0.0
I don't know any of the drama about him and this song..cuz I'm old af lol...but this song gave me goosebumps. Now I have to listen to all his music;0.0;1.0;0.0;0.0
Been on repeat since the day it came out;0.0;1.0;0.0;0.0
He's so pure why would people do that to him;0.0;1.0;0.0;0.0
I can’t believe we got to hear this… this is him pouring out his soul and the fact that olivia called it off changes everything;0.0;1.0;0.0;0.0
“Messing with my life as a career move” ooh that is my favourite line;0.0;1.0;0.0;0.0
This is literally the definition of there are two sides to every story;0.0;1.0;0.0;0.0
the night and day difference in maturity between the 2 sides is mind blowing;0.0;1.0;0.0;0.0
This deserves more than 100 million views;0.0;1.0;0.0;0.0
This touches me omg Josh;0.0;1.0;0.0;0.0
I absolutely feel for him.;0.0;1.0;0.0;0.0
it's february 2022 and this song is still on repeat;0.0;1.0;0.0;0.0
his voice is magical;0.0;1.0;0.0;0.0
This song just hits different.;0.0;1.0;0.0;0.0
This is a profound song! Joshua!;0.0;1.0;0.0;0.0
Poor joshua doesn't deserve this remember stay strong honey no matter what happens just now that we're here for you always ;0.164;0.707;0.13;0.0325
this song takes me to the castle in the sky;0.0;1.0;0.0;0.0
i will always be proud of you, joshyyy! Sad Songs In A Hotel Room is out now!!;0.146;0.708;0.146;0.0
His songs just hit different ;0.0;1.0;0.0;0.0
apaixonada por essa música.;0.0;1.0;0.0;0.0
this song just hits different;0.0;1.0;0.0;0.0
I'm addicted to this song. Listening to this midnight.;0.0;1.0;0.0;0.0
RELEASE THE ALBUM ALREADY  !!!;0.0;1.0;0.0;0.0
This song literally is describing my life atm;0.0;1.0;0.0;0.0
Not gonna lie, this song is kind of catchy;0.0;1.0;0.0;0.0
For me, this kid's music is classic. I feel it.;0.0;1.0;0.0;0.0
This is the issue with breakup songs. Fans hear their idol give one side of a situation that involved two flawed human beings and immediately assume their favorite one is the one in the right.;0.079;0.844;0.077;-0.0258
His voice is so angelic;0.0;1.0;0.0;0.0
Maturing is realizing that there isn’t any side ‘cause we don’t personally know them. They’re both people with feelings.;0.0;1.0;0.0;0.0
he's in his reputation era;0.0;1.0;0.0;0.0
They always say, there’s 3 sides to every story! Side 1, Side 2, and THE TRUTH………;0.0;1.0;0.0;0.0
"""Massing with my life was a career move""!!!";0.0;1.0;0.0;0.0
josh didnt deserve all that. im on josh’s side now;0.0;1.0;0.0;0.0
Joshua u are a pure gem  . Love u;0.0;1.0;0.0;0.0
"""messing with my life as a career move"" dang that hits different ";0.0;1.0;0.0;0.0
"This song is pure goldddddd....
The melody,the voice,the beat..everything is dope";0.0;1.0;0.0;0.0
"""DONT YOU DARE ACT LIKE I DIDN'T LOVE YOU "" tose words hurt me ahh I love this song ";0.246;0.504;0.25;0.0316
He didn’t deserve any hate or death threats at all for that matter. Sucks the break up songs got out of proportion, so glad he is getting his side of the story out and giving us his true and raw emotions through his beautiful songs.;0.205;0.572;0.223;0.0429
Essa treta está rendendo músicas perfeitas. Mas, dá uma dó também ;0.0;1.0;0.0;0.0
Can we make this a global hit;0.0;1.0;0.0;0.0
"""Messing with my life as a career move"" felt that...";0.0;1.0;0.0;0.0
This became my daily song;0.0;1.0;0.0;0.0
️️Love this;0.0;1.0;0.0;0.0
gente eu amo essa novela, mas é a vida das pessoassss;0.0;1.0;0.0;0.0
the chords and the guitar picking makes me think of the piano in drivers licence;0.0;1.0;0.0;0.0
"65K until 3M
We can do this ";0.0;1.0;0.0;0.0
On repeat;0.0;1.0;0.0;0.0
Everyone acted as if he wasn't a person with feelings and he didn't even do anything deep;0.0;1.0;0.0;0.0
The storyteller is on it. ‘Nice’;0.0;1.0;0.0;0.0
"""Joshua will donate 100% of his earnings from this song to mental health organizations in perpetuity""
️";0.0;1.0;0.0;0.0
2:22 the clouds matching his suit during the bridge;0.0;1.0;0.0;0.0
"""MESSING WITH MY LIFE AS A CAREER MOVE"" I got it josh.";0.0;1.0;0.0;0.0
Messing with my life is a career move ;0.0;1.0;0.0;0.0
Tell us how you really feel guy ;0.0;1.0;0.0;0.0
"""You're messing with my life as a career move...""";0.0;1.0;0.0;0.0
ik im only commenting now and its late but when i first heard olivias songs i thought that joshua was so mean but then when i heard his side i realized that theres alot more to the story that we dont know;0.0;1.0;0.0;0.0
Speechless once again;0.0;1.0;0.0;0.0
this is going to be incredible;0.0;1.0;0.0;0.0
he looks so grown up in this video.;0.0;1.0;0.0;0.0
It's a bop;0.0;1.0;0.0;0.0
release the album;0.0;1.0;0.0;0.0
I actually relate more to this song ️;0.0;1.0;0.0;0.0
The boy can sing, besties;0.0;1.0;0.0;0.0
Kay... This was 10x I came back and hear this again;0.0;1.0;0.0;0.0
He deserves so much more recognition;0.0;1.0;0.0;0.0
This is why I never side with anyone's side of the story, within reason.;0.0;1.0;0.0;0.0
There is always 2 side to a story;0.0;1.0;0.0;0.0
me listening to this with daddy issues ;0.0;1.0;0.0;0.0
The outfit, the sunset, and Herbie living the life... immaculate;0.0;1.0;0.0;0.0
I think the reason Joshua didn't sing this song on any of his tours is that it's too personal for him;0.0;1.0;0.0;0.0
Keep your head up dude and keep chasing your dreams...love️and supportfrom Tahiti🇵🇫️️;0.0;1.0;0.0;0.0
"""Messin with my life as a career move""
Woah.";0.0;1.0;0.0;0.0
This is proof that there’s always more than one side to every story !!!;0.0;1.0;0.0;0.0
“Messing with my life as a career move” I felt that;0.0;1.0;0.0;0.0
im in awe the lyrics are so personal and raw. genuinely authentic and that's incredible;0.0;1.0;0.0;0.0
"Olivia really had us fooled...""Ain't it funny, how you ran to her the second that WE called it quits?"" She wanted it to seem like Josh left her. When it was the other way around. ""Weren't you the one who left in the first place.""";0.05;0.898;0.052;0.0243
his voice is angelicno one can tell me otherwise;0.0;1.0;0.0;0.0
"After listening all songs my bod is getting chills...... 
Finally he told all";0.0;1.0;0.0;0.0
this music video is going to be iconic. mark my words.;0.0;1.0;0.0;0.0
It's been a year since C/S/SMF was released ;0.0;1.0;0.0;0.0
Imagine in 10 years time they are married;0.0;1.0;0.0;0.0
4M on lie3 anniversary!!!!;0.0;1.0;0.0;0.0
The chorus.........;0.0;1.0;0.0;0.0
And Celine I'm with u 100%;0.0;1.0;0.0;0.0
I am here to listen some music;0.0;1.0;0.0;0.0
Also rocking the pink;0.0;1.0;0.0;0.0
The guitar>>>;0.0;1.0;0.0;0.0
Did anybody hear what he was saying in the lyrics it’s definitely a battle of triangle;0.135;0.725;0.14;0.0258
"EITA CARAI ,eai Rogéria n vai fazer nada ??
Obrigada por isso jhoshua";0.0;1.0;0.0;0.0
the gold chain on him ;0.0;1.0;0.0;0.0
"Release Smoke Slow and Say The Word music videos 
And then the album";0.0;1.0;0.0;0.0
Joshua bassett babe ️;0.0;1.0;0.0;0.0
He is replying Olivia on her traitor or drivers license ;0.0;1.0;0.0;0.0
She’s only thinking about her self;0.0;1.0;0.0;0.0
Release the album or something;0.0;1.0;0.0;0.0
"Late 90's :-Britney Spears and Justin Timberlake
Mid 2000's :- Zack Efron and Vanessa H
2012/2022 :- Olivia Rodrigo and Joshua Bassett 
I'm picking up on a theme with Disney stars ";0.0;1.0;0.0;0.0
He’s “playing” in G. Songs in D.;0.0;1.0;0.0;0.0
Dang this is a worse beef than Eminem vs. MGK. Music wise, it's excellent, but it's two young people publicizing their breakup and letting their fans argue, which is pretty depressing to witness.;0.193;0.61;0.197;0.0387
Cassetada!;0.0;1.0;0.0;0.0
Joshua Bassett was an come from Canadian is moving to Australian in Sydney, NSW and Gold Coast, Queensland🇨🇦🇨🇦🇨🇦🇨🇦🇦🇺🇦🇺🇦🇺🇦🇺;0.0;1.0;0.0;0.0
i got an olivia rodrigo add at the beginning of this;0.0;1.0;0.0;0.0
rey te amo;0.0;1.0;0.0;0.0
Chills;0.0;1.0;0.0;0.0
This song is so vanilla;0.0;1.0;0.0;0.0
wait hold up who is this song made for???;0.0;1.0;0.0;0.0
This is about Olivia how did this happen oh my.;0.0;1.0;0.0;0.0
DOES ANYONE HERE KNOW WHAT HE DID TO OLIVIA HER ALBUM IS BASED ON IT;0.0;1.0;0.0;0.0
Am I high or is he barely moving his lips here?;0.0;1.0;0.0;0.0
the pink suit is a serve;0.0;1.0;0.0;0.0
He and I filmed this in AMI;0.0;1.0;0.0;0.0
Hsmtmts season 3 looking a little different here;0.0;1.0;0.0;0.0
Now, its Taylor's exe's turn....;0.0;1.0;0.0;0.0
I need lyric;0.0;1.0;0.0;0.0
te amo sabes;0.0;1.0;0.0;0.0
I have a question, who or what is this song about?;0.0;1.0;0.0;0.0
How I loughed can't be paralleled;0.0;1.0;0.0;0.0
W man she still thinks  about u;0.0;1.0;0.0;0.0
Olivia Rodrigo’s ex about her this song I’ve heard;0.0;1.0;0.0;0.0
Is this about Sabrina or Olivia??;0.0;1.0;0.0;0.0
THIS IS ABOUT OLIVIA RODRIGO, AHHHHHHHHHHHHHHHHHHHHHHHHHHHH;0.0;1.0;0.0;0.0
i'm a child of divorce;0.0;1.0;0.0;0.0
it's been one month!!!;0.0;1.0;0.0;0.0
nick jonas vibes anyone?;0.0;1.0;0.0;0.0
1,998,882 views rn.;0.0;1.0;0.0;0.0
Honestly I'm on nobody's side, just here enjoying their music. Maybe Olivia's songs are more relatable but that doesn't mean I should hate on the other one. Fans need to calm down;0.126;0.697;0.178;0.0258
Including Sofia Carson;0.0;1.0;0.0;0.0
Here’s a tip: In music videos, try to open your mouth more when you’re singing the lyrics. It looks a little off, and doesn’t match the expression and emotion in the audio;0.0;1.0;0.0;0.0
The converse;0.0;1.0;0.0;0.0
it’s ight;0.0;1.0;0.0;0.0
Che¡;0.0;1.0;0.0;0.0
Why is everyone saying this is to Olivia;0.0;1.0;0.0;0.0
Do all of you realize he made this because of Olivia;0.0;1.0;0.0;0.0
This isn't Jasiah...;0.0;1.0;0.0;0.0
Fk O R;0.0;1.0;0.0;0.0
1896500th view;0.0;1.0;0.0;0.0
he sings so flat though;0.0;1.0;0.0;0.0
@Olivia Rodrigo;0.0;1.0;0.0;0.0
Team Olivia;0.0;1.0;0.0;0.0
Harry Styles wanna-be;0.0;1.0;0.0;0.0
Clout chaser.;0.0;1.0;0.0;0.0
Bare minimum effort in this song;0.0;1.0;0.0;0.0
