comment;score negative;score neutral;score positive;score compound
“Momma called cause she heard I got death threats” being a mom of 3 boys this hit my heart!! I felt that so much us mothers only want our babies to be safe and happy and loved :( This is a beautiful song;0.109;0.562;0.329;0.9285
A lot of people compare early Taylor Swift to Olivia but I honestly think Joshua compares more to later Taylor.. the maturity in his songs and the stunning guitar reflects the sombre emotion of somebody who has been trampled over but doesn’t want to take revenge.;0.082;0.734;0.184;0.5647
"""but you sensationalise, keep fanning the fire for the headlines."" SO GOOD. His songwriting skills omg.";0.124;0.561;0.315;0.7757
Joshua definitely wins this one. He’s actually expressing his emotions and explaining his side instead of blaming the other person.;0.12;0.639;0.241;0.4939
This song never gets old. No matter how much I listen, I never get bored.;0.068;0.818;0.114;0.1877
"I think it was extremely wise of him to wait to release this. At the time all the drama popped off, his side would have been irrelevant. The fans were raging and painting him as the villain. Now that the dust has settled and the emotions have passed, we can all hear him clearly. I respect him a lot for this. He shared the part of the music industry we never get to hear about. He straight up addressed how that situation affected him and all without having to do any interviews lol. I hope when he's asked about this again in the future, he can point to this song and just say ""Listen to this."" and leave it at that.";0.071;0.791;0.138;0.8553
I remember being so worried for Joshua earlier in the year after all the drama. All the hate towards him was so horrible. People will grow apart from others and that's understandable, so I never hated him when Olivia released those songs. I hope he's doing alright now. This is also such a beautiful song too :);0.146;0.649;0.204;0.5226
just the fact hes donating 100% of it to mental health charities is so f*cking nice this man is so f*ucking kind;0.0;0.656;0.344;0.8737
I felt this… so real and authentic. Joshua shouldn’t be compared with any other artist, I think he has his own sound and aesthetic. Talent.;0.0;0.896;0.104;0.4215
His side of the story is just as relevant as Olivia's. I hope everyone that listened to drivers license and SOUR also hears this;0.0;0.888;0.112;0.4404
this song is so good! he didn’t talk about the breakup in an aggressive way, he was calm, and made his points very clear! and didn’t give him all the credit, bc he knew that he wasn’t perfect too. “don’t go thinking i didn’t hurt too.” is so so sweet! and i love how he is donating all of the profits for charity for mental health crisis’s! he could’ve bought stuff for himself, but no! he has my side! ;0.038;0.74;0.221;0.9305
why aren’t these getting more views josh deserves to tell his truth too;0.0;0.839;0.161;0.3182
Joshua is on his way of self-acceptance and emotional maturity.;0.0;0.849;0.151;0.1531
I can’t stop listening to these. They’re amazing. “Weren’t you the one why left in the first place? Weren’t you the one who called things off? Was it an act to live me or an act to hate me? But don’t you dare act like I didn’t love you…” thank you Joshua. These songs might have honestly helped save my life.;0.049;0.658;0.292;0.9705
I have huge respect for him and his music. As someone who suffers from chronic diseases and mental health issues, seeing and hearing other people share that vulnerable side to them and especially your donation to charity just saddens me (that you have to suffer from mental health issues because of all the drama), and warms my heart. I hope people realize that these artists are also people and that we shouldnt involve ourselves in their personal matters. Stay strong man, and sorry if my english is all over the place.;0.112;0.677;0.211;0.8834
He’s giving me Harry styles, Charlie puth, Shawn mendes along with himself sorta vibes and honestly, I’M LOVING IT;0.0;0.621;0.379;0.868
We can all appreciate all the art: Sabrinas, Olivias and Joshuas! They’re all talented and deserve the best ;0.0;0.588;0.412;0.8883
Reading all the comments about respecting both point of views initially made me think to hell with that because the same energy wasn’t given earlier this year but then I realized that’s the difference between his fans and others. Empathy and respect for the feelings of all parties involved. Truly a testament to Josh and the love he chooses to spread ;0.036;0.694;0.27;0.9595
Joshua really helps me a lot... he speaks out my fears and anxiety in his songs, and they turned out to be beautiful in the form of art;0.128;0.68;0.192;0.5095
To be honest I’m on his side he just has such sweet songs.;0.0;0.636;0.364;0.743
This is one of those songs that nobody can do justice covering, just because it's so loaded with emotions and references that are unique to his situation/experience.;0.0;0.884;0.116;0.5267
Joshua, This song speaks so much about what happened. I'm so, so sorry for everything that happened to you and no one should ever have to go through that:(. I'm very proud of you releasing this because it shows the people who always thought it was your fault that you never got to show your side. Just know that I never hated you from day one and that I'm sorry for everything that happened to you. I hope everyone understands your true feelings .;0.082;0.788;0.129;0.7593
Why are people picking sides?! Both Josh and Oliva are insanely talented people. And don't hate on Josh for releasing this, he deserves a chance to tell his side of the story.;0.0;0.771;0.229;0.822
i read the comments and the fact that nobody is being hateful is amazing. this is a wonderful song and i hope things will get better for him;0.081;0.582;0.337;0.8779
“was it an act to hate me or was it an act to love me” THESE LYRICS  I LOVE YOU JOSH;0.12;0.584;0.296;0.7531
“And it’s cool if you want me to play the bad guy” omg I couldn’t relate to lyrics more I love all of his songs so ima go and blast them in my room;0.081;0.675;0.244;0.7165
This song is so raw and emocional I love it so much!! I’m so proud of Joshua and his evolution as an artist and person :) it’s not easy to release a song like this one, I can only imagine how vulnerable it makes you feel;0.074;0.683;0.244;0.8994
"Aside the fact that his voice is poweful and the song is touching...
I wanna say that the thing that we forget sometimes is that they all are young. They both have the right to creat songs about their feelings and all, but what that turns these songs to a war zone is the way fans act after listening to either one of them. You know this is THEIR lives. Yeah they do write about it but don't hate or annoy any one of them cause at the end of the day the really are just young people still trying to figure out things in their lives. And also, non of our businesses! ";0.054;0.864;0.082;0.5264
The fact that he always kept respectful- even though she put him through all of this- that's so strong and grown up;0.0;0.734;0.266;0.8042
They always say there’s 2 sides in every story and as good as olivias songs are i think Josh’s songs gives a whole different perspective on the outside world Im so glad to hear his songs I feel so sorry for what he went through but so happy for him and his music it’s amazing he has my support;0.018;0.715;0.266;0.9656
Wow, there can be nothing better than this. You are singing about the fact that your ex is singing songs about hurting and your family is getting phone calls, and you are donating all the money to mental health organizations. He has my 100% support.;0.097;0.779;0.124;0.3387
Such a beautiful song..Good job Josh!!;0.0;0.527;0.473;0.6688
I think this song is so interesting, not just because of the lyrics, but because of the musicality and tone as well. It's a breakup song written like a love song which so perfectly conveys his message.;0.0;0.598;0.402;0.9735
"You guys wait like I can’t decide if I need to laugh or cry right now. Like the chorus is just so cutting and deep and raw that it literally made me tear up but then “you would never dare to waste a crisis” is just such a good burn and I wanna laugh and high-five him for that one and I’m just… 
Update: I’ve decided to cry";0.091;0.7;0.208;0.8706
This is such an incredible powerful song, Josh! And I’m just so proud of you & this moment is yours to take. You deserve it ;0.0;0.757;0.243;0.8114
These lyrics gives off this powerful vibe :, (;0.0;0.711;0.289;0.5023
i love his voice, melody, sweetness and aestethic.;0.0;0.448;0.552;0.8126
This song just hits different when you can relate to the situation, we may not be in the spot light but I know anybody who has been in his spot knows what it’s like.. mad respect for him for this masterpiece ;0.077;0.667;0.256;0.8982
As an Olivia fan I am so happy he did this. A lot of people need to stop harassing people for being in a relationship that didn’t work out;0.151;0.662;0.187;0.3272
Its such a beautiful song, really. Olivia can write songs about their breakup, its her right. I love her and love Josh too. Nobody should take sides . Both are only young artists and they have all their life in front of them...;0.0;0.765;0.235;0.9231
What a sweet voice to hear. Force! You deserve the best, there are always two sides to a story;0.0;0.694;0.306;0.8172
I’m so glad I listened to these three songs. I hope he gets the happiness he deserves and that he will continue to produce such beautiful melodies ;0.0;0.627;0.373;0.9286
Legit, just found out about this artist forty minutes ago and now I'm trapped listening to all his songs on repeat, someone please help me;0.112;0.724;0.164;0.1531
The “mom called me” part hurts me the most, there’s no greater pain than seeing your loved ones in pain, my heart breaks for him! He deserves the best!;0.188;0.45;0.362;0.8438
I have sadly became a subject of online bullying on YouTube and this amazing song helps me cope with all the negativity that I`ve been going through. So thank you, Josh!;0.219;0.548;0.233;0.1614
I just think we need to respect peoples’ boundaries! They were in a relationship and it didn’t work out. That’s life! It’s hard that it has to happen in the public eye. Love them both sm;0.033;0.78;0.186;0.8168
I swear I am just vibing to his songs , plus can we just appreciate the amount of effort and   emotion that's  put in this just amazing;0.038;0.757;0.205;0.743
Man this was beautiful. I hope your feeling better since you been out of the hospital. Keep your songs coming because this one had my tearing up. I so related to this. I know I am not the only one that can relate to the lyrics;0.0;0.789;0.211;0.8807
I still can't understand how he can sing this high! I tried to sing this song by I couldn't. His voice is truly AMAZING!!;0.0;0.726;0.274;0.8522
This song puts me through so many emotions in 3 minutes it’s sooo beautiful and raw and I love when artists show true vulnerability in their songs and this song did that for me Josh is so amazing it’s crazy totally along for this whole journey ;0.076;0.663;0.261;0.9217
Josh.. Please release a full album soon, thank you.;0.0;0.593;0.407;0.5859
The beginning sounds so surreal. This song is really good, definitely one of my favorites.;0.0;0.572;0.428;0.839
This song is so beautiful ! It warms my heart and the LYRICS! I just wanted to also say that I feel he’s directing this song more to Olivia’s fan base than Olivia herself. Who agrees?;0.0;0.656;0.344;0.9454
These kids are so young and so talented and I hope, hope, hope they are in good hands in the music industry and that they are surrounded by balanced and healthy people.;0.0;0.584;0.416;0.9555
"Lyrics:

My label said to never waste a crisis

And here I am, guitar in my hand";0.0;0.613;0.387;0.8328
Deserves more views honestly. This song is so vulnerable and beautiful ️;0.132;0.475;0.393;0.7141
his voice is so comforting;0.0;0.534;0.466;0.541
